tweet_id,created,tweet,location,Hashtags
313702538,2018-10-31 04:49:26,I liked a @YouTube video https://t.co/sEYr9ZPg1B [FREE] 90's Boom Bap Type Beat x East Coast Beat x Kanye west type beat - Inspire,Brooklyn,[]
156306739,2018-10-31 04:49:21,Twitter's problem; stopping hate; Fox under pressure; Facebook earnings; Megyn's lawyer challenges NBC; Kanye claims he's quitting politics: https://t.co/oMN01R1Leq,,[]
2765872313,2018-10-31 04:49:20,"Kanye. Shut your foolish ass up! Nobody used you, Trump won the elections without you. You went on pro Trump rants for months, You clearly knew what you were doing, You Just wanted attention. https://t.co/7vK6ez09gn","Johannesburg, South Africa",[]
703031351604154370,2018-10-31 04:49:14,"Holy shit!
Kanye has been hacked. https://t.co/09immJGsAu",The Andromeda Galaxy,[]
2358190868,2018-10-31 04:49:14,LaVar Ball showed Kanye the way #BBB https://t.co/JQHX9qf5kT,Metro Detroit,"[{'text': 'BBB', 'indices': [32, 36]}]"
1057484813597319168,2018-10-31 04:49:13,"Kanye, or Ye,or whatever you indulgene yourself to be called, should try reading the Constitution and learning American History 101. You are being duped.",,[]
378061694,2018-10-31 04:49:01,"Kanye West: Slavery was a choice

Also Kanye West: https://t.co/yKMlY4GSsg",In the Eye of the Storm,[]
1037731178655014917,2018-10-31 04:49:00,you and juto should be kanye and kim for halloween — 's a no from me! https://t.co/eneqvXEqcY,Yokohama,[]
3247100168,2018-10-31 04:48:59,"@Devonomics @alexthomp80 @kanyewest Kanye never said “slavery was a choice.” Look up specifically what he said. That’s the misrepresentation I’m talking about. He was trying to discuss modern day mental prisons.

Same with 13th amendment, he was clearly talking about the prison slave labor cause.",Podcast link is below!,[]
2784851176,2018-10-31 04:48:57,"@TheRickyDavila @DawnMorey2 New question, who cares? Kanye u b done! https://t.co/fjBNsqWyPB","33.4500* N, 112.0667* W",[]
1001595261846806528,2018-10-31 04:48:52,@ye KANYE!!!!!!!!!,"Philadelphia, PA",[]
2717390700,2018-10-31 04:48:50,@Rschooley Not Kanye. He's done.....one of the Children of the Corn?,"Enid, OK",[]
3929264607,2018-10-31 04:48:46,we broke kanye https://t.co/MWUUp0wW5z,,[]
78851624,2018-10-31 04:48:43,Kanye West: “Fui usado para difundir mensajes en los que no creo” https://t.co/dc3BDfqVni,"Caracas, Venezuela",[]
3311544643,2018-10-31 04:48:38,"Kanye West says he's 'been used,' distances self from Trump, politics https://t.co/PrPTN3unbZ","Davenport, IA",[]
17035107,2018-10-31 04:48:36,I guess I can listen to the most recent Pusha T and Nas albums again. https://t.co/TAMrC4pAZZ,"Pittsburgh, PA",[]
33260951,2018-10-31 04:48:36,Kanye West QUITS politics attacking Trump over immigration https://t.co/VTlKwhttK8 via @MailOnline,Shadows of Pikes Peak,[]
329815759,2018-10-31 04:48:31,@minton_levi 🤷🏿‍♂️ I do not support Trump-puppet Kanye so I only listened once,256,[]
565231577,2018-10-31 04:48:30,Wot??? #Kanye off his meds again? Says #Blexit is scam and ultra-conservatives used him. ??? https://t.co/COVnEuVNEP,"Chicagoland, Illinois","[{'text': 'Kanye', 'indices': [7, 13]}, {'text': 'Blexit', 'indices': [39, 46]}]"
10012122,2018-10-31 04:48:30,"Kanye West simpatiza con el movimiento ""Blexit"", ¿pero qué es? 

https://t.co/ookvK6uOVh","Londres, Inglaterra.",[]
62423890,2018-10-31 04:48:30,Kanye West QUITS politics attacking Trump over immigration https://t.co/oN5RPomu1Z via @MailOnline,Michigan,[]
803421926299271168,2018-10-31 04:48:27,@HotNewHipHop I’m pretty sure kanye doesn’t know who that guy is,Pik6,[]
20529444,2018-10-31 04:48:26,"#Vote
#kanye https://t.co/IK5CtezZTQ","Los Ángeles, Chile","[{'text': 'Vote', 'indices': [0, 5]}, {'text': 'kanye', 'indices': [6, 12]}]"
197267872,2018-10-31 04:48:25,https://t.co/hMFoHSf71F,,[]
55107256,2018-10-31 04:48:24,🤨 https://t.co/hgozFgI2Pg,"Bloomington, IN",[]
477331301,2018-10-31 04:48:23,"Kanye 

Duh.",Southeast USA,[]
42832810,2018-10-31 04:48:22,Kanye West: “Fui usado para difundir mensajes en los que no creo” https://t.co/fQ6Eyjo21v,"Caracas, Venezuela",[]
286474128,2018-10-31 04:48:18,@nogee13 The same people that have never listened to any whole kanye album lol,,[]
628714759,2018-10-31 04:48:16,I'm rolling my eyes so HARD at kanye west right now,,[]
988667769024479239,2018-10-31 04:48:11,@RedPillBlackMan @ShariGalvez @RealCandaceO @kanyewest Kanye West has retracted according to Apple News,"Arizona, USA",[]
81931874,2018-10-31 04:48:11,"@kanyewest Good for you, Kanye.",Right here.,[]
128077153,2018-10-31 04:48:10,@my_twinsta @kanyewest LOOOOL OMG ravy kanye is literally stealing my ideas i can’t believe this,bel air,[]
758793842967531520,2018-10-31 04:48:08,"@stonecold2050 He just showed up at Amara Enyia's ""pull up"" on her Chicago mayoral campaign and paid her back fees ~$74,000. She's the daughter of Nigerian immigrants and has a lousy platform but Chance the Rapper endorses her so I reckon Kanye wanted some publicity.",The Parisian Room,[]
991446356085493760,2018-10-31 04:48:07,@Brandy_48 @GayRepublicSwag Just kanye being kanye 🤣🤣🤣,United States,[]
735854677409959937,2018-10-31 04:48:04,"Why did my boy Ash just claim that the Kanye debacle was an attempt to make a ""Locutus of Negroes""...I'm done...I'm fucking done...","Baltimore, MD",[]
1179529244,2018-10-31 04:48:01,"With Kanye no longer on their side how will the GOP still be able to say, ""I'm not racist, I have a black friend""?",A corner booth at Milliways,[]
803217965135134720,2018-10-31 04:48:00,@TomiLahren I don't think many on the left spend much time pondering Kanye's untreated bipolar disorder.  We wish he would get help I suppose but never raised him up to be a political prophet.  That was Trump,,[]
266965508,2018-10-31 04:48:00,"La plena de Kanye con Lil' Pump tiene tremendo bajo aw, it's so catchy",Panama,[]
807444684914180096,2018-10-31 04:47:59,"@TooncesDaCat @ZiggyRichards @KanyePodcast @alexthomp80 @kanyewest There are people far to the right of Trump, some of which Kanye named, which have used him to support positions he doesn't support. Kanye shares views with Trump that most of the GOP doesn't, while Trump represents their views- not his because they're right, for now.",,[]
1052184819994648578,2018-10-31 04:47:57,Kanye West Breaks: “I’ve Been Used To Spread Messages I Don’t Believe In”- Mrgeo’s news https://t.co/CYKJtJqAR0 https://t.co/MrdxjbI8KW,South Africa,[]
769354831383396352,2018-10-31 04:47:53,"@Unaendrlich @theneedledrop Yes, To Kanye standards, ehhh, but otherwise yes it was.",New York City,[]
1202820595,2018-10-31 04:47:50,so is Kanye sane again 👀,reputation & sweetener bubble,[]
344361096,2018-10-31 04:47:49,@RealCandaceO Plz don't stop fighting for equality &amp; love! Your cause is just &amp; true! Kanye is a punk who'd sale his soul to a Kardashian! My bet she's so jealous &amp; made Kanye's life hell cause all she sales is trash! You sale class! Lesson learned! America needs your voice!,United States,[]
57511923,2018-10-31 04:47:46,Ok it's official Kanye is either insane  or smoke's too much weed... . Or both,Chicago,[]
4878558519,2018-10-31 04:47:36,"Kanye West saw the “error of his ways” and is taking a “step back from politics”, all on the same day Beyoncé reveals her homage to Toni Braxton. And yet again, Black Women to the rescue. Won’t She Do It. Look at Beysus 😌🍋","Bronx, NY",[]
3316205113,2018-10-31 04:47:33,"@alexthomp80 @IngramEpps @kanyewest I am in this fight!!!!!!!!!! #Ally

(Kanye irritates the fool outta me)",Beto O’ Clock,"[{'text': 'Ally', 'indices': [65, 70]}]"
3247100168,2018-10-31 04:47:31,"@alexthomp80 @MichaelPurcell0 @kanyewest It’s not that “there was nothing negative about what Kanye said,” it’s just simply “most people don’t know what they’re talking about and misrepresent what Kanye said.”",Podcast link is below!,[]
3134247289,2018-10-31 04:47:30,"Hey Chuck, you may want to check Kanye's twitter page for the latest on his Blexit Exit! 😣#KanyeWest https://t.co/6GoKLLbOti","Detroit, MI","[{'text': 'KanyeWest', 'indices': [90, 100]}]"
1309472702,2018-10-31 04:47:29,@KanyePodcast @LexxLoyalty @alexthomp80 @kanyewest Most people are not saying that Kanye's words came from a hateful place.  Most people were concerned about his well-being and mental health and probably still are.,United States,[]
3713092041,2018-10-31 04:47:28,@ImKanyeWestSon @DrBackwoodz 😂😂there gonna think I got Kanye on my show lol.,,[]
1041694829996986368,2018-10-31 04:47:26,"@HunkyGayJesus @realDonaldTrump Apparently I need to retract this statement. This doesn't negate that Kanye is a total tool, though.","Sanctuary, Pandora",[]
425459156,2018-10-31 04:47:26,@Kanye West does record sells have anything to do with it?,,[]
407307015,2018-10-31 04:47:25,@lapresmidi You can mute anyone. I mute Kanye West because everyone I follow likes and retweet’s him. 😂,"Las Vegas, NV",[]
