tweet_id,created,tweet,location,Hashtags
16462068,2018-10-15 05:00:00,"FUNNY OR NAH |  Alec Baldwin's Donald Trump was back on the ""Saturday Night Live"" stage and this time he brought Ka… https://t.co/KWSApyp9PH","Jacksonville, Fla.",[]
2227607945,2018-10-15 03:44:08,Paul simon’s performance on snl was iconic but y’all don’t care bc he’s not Kanye,north carolina,[]
817581613597020161,2018-10-15 03:38:46,@aiden_storey Pete Davidson on SNL- MK2KA...... Make Kanye 2007 again,"Tulsa, OK",[]
770472700544421888,2018-10-15 03:35:09,Kanye West - New Slaves (Live on SNL) https://t.co/W9RU6CDi1q via @YouTube,"Tyranny, USA ",[]
87287287,2018-10-15 03:31:08,Pete Davidson BLASTS Kanye West on SNL https://t.co/LSw2Lr1huB #kanyewest #petedavidson #snl https://t.co/itxNsnVTdA,Toronto.NYC.the Universe,"[{'text': 'kanyewest', 'indices': [63, 73]}, {'text': 'petedavidson', 'indices': [74, 87]}, {'text': 'snl', 'indices': [88, 92]}]"
15791186,2018-10-15 03:30:41,'SNL': Alec Baldwin returns as Trump in Kanye West Oval Office meeting spoof https://t.co/xdcAloBDYh https://t.co/QInnYrA1n1,"Houston, TX",[]
16376168,2018-10-15 03:30:00,"Alec Baldwin embraces his 'Black Trump' in a crazed 'SNL' meeting with Kanye West.
https://t.co/L6gXft7wuU","Oklahoma, USA",[]
104625728,2018-10-15 03:26:53,Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/59E1m7EO40 via @YouTube,"Memphis, TN",[]
24108865,2018-10-15 03:17:53,Just now watching the kanye skit on #SNL lmbo,All over Northeast OH,"[{'text': 'SNL', 'indices': [36, 40]}]"
1037141866347745280,2018-10-15 03:15:47,Seth Meyers returned to SNL on Saturday and picked up right where he left off. He opened with an interesting monolo… https://t.co/TLK89FsUyL,"Hattiesburg, MS",[]
24700876,2018-10-15 03:10:41,Alec Baldwin roasts Kanye West's Trump meeting on 'SNL' https://t.co/bBgS0xXMrN https://t.co/Nk1kXBfgFE,"365 Bloor St. E., Toronto, ON",[]
1309152008,2018-10-15 03:08:37,@CharlesMBlow I’m really TROUBLED that Kanye has been publicly exploited n the Oval Office ..laughed at..ridiculed… https://t.co/Bb1EMVoFAC,,[]
127416296,2018-10-15 03:02:55,"maybe if Pete hadn't came for Kanye on SNL, him n Ari might still be engaged 🐸☕🤷 #kanyeshrug #unpopularopinion",Southern California ,"[{'text': 'kanyeshrug', 'indices': [81, 92]}, {'text': 'unpopularopinion', 'indices': [93, 110]}]"
949390354683326464,2018-10-15 02:52:47,Donald Trump erupts on Twitter after SNL begins lampooning him and Kanye West https://t.co/rZPdE8DNcG via @PalmerReport,"Eugene, OR",[]
709862005,2018-10-15 02:33:10,"#SNL got funnier after the tired #Kanye/#Trump cold open, but best thing in watching it on #Hulu was ad for season… https://t.co/faAuxxJPnX","Salisbury, Md.","[{'text': 'SNL', 'indices': [0, 4]}, {'text': 'Kanye', 'indices': [33, 39]}, {'text': 'Trump', 'indices': [40, 46]}, {'text': 'Hulu', 'indices': [91, 96]}]"
232577440,2018-10-15 02:31:56,Called it. Homeboy shouldn’t of gone crazy on Kanye on SNL https://t.co/89jznd2qRd,Chasing Airplanes. ❤ NC Native,[]
770459438171971584,2018-10-15 02:28:20,hey guys I’m not a big Kanye supporter rn either but maybe making fun of his mental illness on snl was a tad unnecessary,,[]
467687178,2018-10-15 02:24:45,Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/cBKTxTk46N via @YouTubeo It's a sad day when Kanye W… https://t.co/ixcPjOZEnI,The Sonoran Desert,[]
791443966214365184,2018-10-15 02:20:14,"Trump praises Kanye West for 'leading the charge' after anti-Democrat speech on 'SNL' https://t.co/kr5mHyPdIs

Publ… https://t.co/BDCKAs0OHX",ask why?,[]
15756056,2018-10-15 02:20:12,'SNL': Alec Baldwin returns as Trump in Kanye West Oval Office meeting spoof https://t.co/sgSEM9w36K https://t.co/jac5V4goFB,"Spokane, Washington",[]
30788083,2018-10-15 02:14:29,SNL riff on @realDonaldTrump and Kanye lovefest at the White House... https://t.co/33DJmZgZYr,,[]
2265227667,2018-10-15 02:11:43,Alec Baldwin Embraces His ‘Black Trump’ In Crazed ‘SNL’ Sketch https://t.co/Wcc6RUaPOa,"Brooklyn, NY (Bed-Stuy)",[]
380138716,2018-10-15 02:11:11,Donald Trump erupts on Twitter after SNL begins lampooning him and Kanye West https://t.co/2ygcDSnGgj via @PalmerReport,"Fallbrook, CA",[]
14185814,2018-10-15 02:10:08,'SNL': Alec Baldwin returns as Trump in Kanye West Oval Office meeting spoof https://t.co/HijD0BRGj4 https://t.co/eM4xID8h0B,"Portland, Oregon",[]
400103414,2018-10-15 02:08:47,What’s “bizarre” is that an elderly comedian keeps making the same joke week after week. Alec Baldwin is on daddy d… https://t.co/QYrQPbEhZ5,"Philadelphia, PA",[]
822911412926377985,2018-10-15 01:54:17,SNL's opening episode was a Kanye mess... Awkwafina's gig was really disappointing and all the sketches that ep wer… https://t.co/FTaoofaRue,"Richmond, VA",[]
703294414144278528,2018-10-15 01:53:58,@NextRevFNC @FoxNews @SteveHiltonx @TomiLahren @reihan @TezlynFigaro I like you Steve Hilton but I just don’t get h… https://t.co/bk1yTw0kVY,United States,[]
21212683,2018-10-15 01:53:51,Donald Trump erupts on Twitter after SNL begins lampooning him and Kanye West https://t.co/LTYBlD1tCA via @PalmerReport,"Indian Country, Oklahoma",[]
14268564,2018-10-15 01:45:28,'SNL': Alec Baldwin returns as Trump in Kanye West Oval Office meeting spoof https://t.co/jII0Uwp5hq https://t.co/cCSVqmB4R8,Atlanta,[]
147729172,2018-10-15 01:43:10,"Oh neat, SNL poked fun at Kanye as if they didn’t just have him on the show","Alexandria, VA",[]
325915609,2018-10-15 01:38:25,"Pete wants to bash Kanye on SNL, maybe they will have a dumbass skit about he is the real loser! https://t.co/QDcsgQ7V7o","Nashville, TN",[]
1001892083580338176,2018-10-15 01:34:53,"Just started last night's SNL, and turned it off halfway into the intro skit where they picked on the Kanye meeting… https://t.co/UhkX4kuxyf",Everywhere,[]
251713323,2018-10-15 01:34:41,Chris Redd killed it with Kanye impression on SNL. This sketch is so good. https://t.co/jvyvykxen6,Indianapolis,[]
718921116622962688,2018-10-15 01:34:20,@buttholeeyes what the? Did he really say all this stuff? Wow smh. I know he was making jokes about Kanye on SNL. B… https://t.co/AnwG7FS6ls,,[]
585926110,2018-10-15 01:31:04,"#Repost washingtonpost with get_repost
・・・
This week, SNL reenacted Thursday’s bizarre White House meeting between… https://t.co/suGri93CRv","Queens, NY","[{'text': 'Repost', 'indices': [0, 7]}]"
14892827,2018-10-15 01:22:20,@JayPharoah should have been on SNL to be Kanye.,"Washington, DC",[]
746412911006912512,2018-10-15 01:14:55,That SNL skit last night on the Trump and Kanye meeting was the funniest thing I’ve seen in a while.,underneath fantanos bed,[]
14296548,2018-10-15 01:12:36,'SNL': Alec Baldwin returns as Trump in Kanye West Oval Office meeting spoof https://t.co/GQkxY05xEe https://t.co/Uto3Z7oTvx,"Cleveland, OH",[]
1037089315917058048,2018-10-15 01:08:05,"Pete Davidson commented on Kanye West's rant on SNL saying ""being mentally ill is not an excuse to be a jackass"". I… https://t.co/mvf1uRfDQ5",,[]
2934990989,2018-10-15 01:07:05,"'SNL' tackles Kanye in the West Wing: Alec Baldwin's Donald Trump was back on the ""Saturday Night Live"" stage and t… https://t.co/2CwGRfoorl",Delaware,[]
41954681,2018-10-15 01:05:33,Shoutout Ariana Grande for being a real Kanye stan and dumping her boyfriend for making fun of him on SNL,,[]
739110309982556161,2018-10-15 01:05:05,'SNL': Alec Baldwin returns as Trump in spoof of Kanye West's Oval Office meeting - USA TODAY: USA TODAY 'SNL': Ale… https://t.co/wLTqaVEgnY,"Houston, TX",[]
218604340,2018-10-15 01:01:31,@CNN While I love SNL I do not agree with them making fun of a man who is clearly going through something. It is ho… https://t.co/rFfom1jBep,"Regina, Saskatchewan",[]
