tweet_id,created,tweet,location,Hashtags
3020208837,2018-10-29 21:48:41,@RealCandaceO Girl  this is a picture of Kanye doing what Trump wants him to do https://t.co/zg4N8lxFZw,,[]
349078053,2018-10-29 21:48:27,"@kanyewest Kanye, one time I commented on one of your wife’s photos asking if you guys wanted to come stay with me in Bloomington. The offer still stands","Bloomington, IN",[]
917119451467620352,2018-10-29 21:48:21,@kathygriffin Yet Kanye finds a father figure in this man. 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,,[]
3253810630,2018-10-29 21:48:19,“I wish i had a friend like me” Kanye,"Angers, France",[]
235967262,2018-10-29 21:48:09,@twitersgoodboy Very cool Kanye!,Crashing This Plane,[]
2476083572,2018-10-29 21:48:06,Trump and Kanye are crazy and that’s facts btw @kanyewest Your Album was shit hehehehehehe.,,[]
3910000936,2018-10-29 21:48:06,We love Kanye https://t.co/pzDFZ7aI06,"Fayetteville, NC",[]
884634053709893632,2018-10-29 21:48:06,@Franktaylor456 @FlicksLikeEden Lmaooo... man said Kanye 😁😁😁😁,"Greater Accra, Ghana",[]
1053761815522361344,2018-10-29 21:48:03,"@JFREJNYC @womensmarch We need more media pressure on Kanye West and Candice Owens for not doing as they were told!
#Resist","Santa Clara, CA","[{'text': 'Resist', 'indices': [116, 123]}]"
355548673,2018-10-29 21:48:02,"@dfarella @kanyewest Hey, sup Kanye, it’s cool that you follow one of 5 people that interact with my tweets.",,[]
394600810,2018-10-29 21:47:59,Conseguem imaginar a Hillary a perder as presidenciais para o Kanye? https://t.co/w0yUS5zX2m,"Lisboa, Portugal",[]
17936432,2018-10-29 21:47:59,@RochelleCW1 @DiamondWestGib1 @TayAnderson2019 @_uptowngirl33 @CharriseLane @supitsshekinah @kalendanger @kanyewest Voting for the party that is responsible for a president who has lawsuits since the 80s discriminating against black citizens. And you think a Kanye endorsement changes all that. Aaahahahaaaaaahaaaa,earth snapchat = carleystar,[]
17584695,2018-10-29 21:47:58,"@williamlegate Jack listened to Kanye West?

I don't ""like"" it",New York,[]
48387816,2018-10-29 21:47:57,Kanye more supportive of Nicki than Dr...nvm https://t.co/2Fs9KxmekU,Nicki's Studio,[]
1575581,2018-10-29 21:47:56,"Discussing Kanye’s recent behavior as a “mental issue” is unhelpful and misses the point.

He knows what he’s doing and is doing so in concert with conservative strategists. 

This Blexit garbage is proof of that. It’s dangerous and strategic.",everywhere you want to be,[]
27984942,2018-10-29 21:47:47,@two_peacocks69 @Betheriffic @benshapiro @kanyewest Trying to gauge where you are on the political spectrum. You’re using the Kanye speech? You want people to focus on which part? Him talking about love?,Chicago ,[]
781735414101147648,2018-10-29 21:47:27,Kanye West Wants to Give the Alt-Right a Makeover - GQ Magazine https://t.co/zix5hz2Pdk,,[]
3188453825,2018-10-29 21:47:15,"Kanye Designs Shirts For Candace Owens’ “Blexit” Campaign, Encourages Black People To Exit The Democratic Party https://t.co/qqxw4lSxKF https://t.co/ydPoTpNm5i",,[]
1040806575433285633,2018-10-29 21:47:09,"@YoungSavagery_ @TrueTashan @whyyousoloudhoe Kanye is trying to defeat the slave mentality What he meant be slavery being a choice is a lot of people would’ve stayed on the plantation if given a choice because of their “loyalty to massa” Same thing going on today, we keep voting for people who do nothing for black community",USA,[]
812342668244189184,2018-10-29 21:46:58,@airjackk No I thought they the exact same I’m just saying like are we gonna start seeing Kanye Retro yeezys in the future,,[]
2964637718,2018-10-29 21:46:57,The media doesn’t show us Kanye’s bullshit. Kanye does that himself lmao https://t.co/tKswExX82o,Universe 7,[]
910340931143974912,2018-10-29 21:46:50,"Kim Kardashian said her husband's family planning idea is ""crazy."" https://t.co/Y12LSaZLNn via @HuffPostEnt. She didnt feel like that after north was born? Idiot, go on and have 2 more kids, idiot!",,[]
996209136000950273,2018-10-29 21:46:49,Thank you Kanye. Keep it going. https://t.co/lekKCuWlS8,Texas,[]
349078053,2018-10-29 21:46:44,@kanyewest Kanye you are out here giving follows? I think I have some inspiration on my page that might be useful to you. We could be partners,"Bloomington, IN",[]
824833387063947264,2018-10-29 21:46:41,@ExcellGeo @BreitbartNews Except they aren’t. You all can have Kanye.,,[]
243992976,2018-10-29 21:46:40,i hope thanos kicks kanye west’s ass,,[]
989960513990905857,2018-10-29 21:46:33,@Padma4Point0 @_uptowngirl33 @AnnCoulter @CharriseLane @supitsshekinah @RochelleCW1 @kalendanger @kanyewest Bruh I’m so tired of y’all saying we look up to Kanye bruh we came out before Kanye,,[]
3224759770,2018-10-29 21:46:31,Maybe Kanye is just a good millennial https://t.co/QWhGMwfjOz,,[]
809617209215643648,2018-10-29 21:46:26,If Kanye follows you. You are the luckiest person on earth.,"Chiraq, Drillinois",[]
1426190167,2018-10-29 21:46:25,@TheBobbyJo123 @TalbertSwan @realDonaldTrump Kanye,"Greenock, Scotland ",[]
341064030,2018-10-29 21:46:22,"Informed my friend of my evening of drinking wine, listening to Kanye West and trying to remember how to use SPSS and in response he sent possibly the greatest and most niche joke I've ever received
#psychology #statistics #kanyewest #darkfantasy https://t.co/2VUAoo3Ncd","Cardiff, Wales","[{'text': 'psychology', 'indices': [199, 210]}, {'text': 'statistics', 'indices': [211, 222]}, {'text': 'kanyewest', 'indices': [223, 233]}, {'text': 'darkfantasy', 'indices': [234, 246]}]"
545682716,2018-10-29 21:46:21,By the looks of it Kanye will be in the next season of rick and morty,"Tucson, AZ",[]
1053337218893471744,2018-10-29 21:46:19,Kevin Gates Meek Mill Nas Jay Z or Kanye the o my people I will sign to one day!,"Chicago, IL",[]
837343042730352641,2018-10-29 21:46:13,"@octavioaraujo41 @handymayhem @Matthew_Handy @MoreThanHH @LadyThriller69 @_TheCivilRight @TPUSA I don't think she wants to actually accomplish anything other than using Kanye and Trump's names to make money, but even if she did Kirk is her handler and would stop her immediately",757,[]
721186449333362688,2018-10-29 21:46:08,"Tô viciado muito nessa nova do Vinícius Kanye, muito boa https://t.co/RVC2jxCSAG","Barra de São Francisco, Brasil",[]
1481186376,2018-10-29 21:46:01,"Please don't pull a Kanye West, and let Sid finish #Playoffs @DeMar_DeRozan @timandsid",,"[{'text': 'Playoffs', 'indices': [51, 60]}]"
996446112692297728,2018-10-29 21:45:58,how kanye be chillin even know he knows he’s supporting someone who doesn’t support him https://t.co/KaPVLgQxhq,,[]
16819263,2018-10-29 21:45:58,"@kennyfresh @Yoh31 yeah basically all the coke rappers were like im really just a hustler mannnn, and all the kanye-esque rappers were i'm an artist mannnn","Brooklyn, NY",[]
502598474,2018-10-29 21:45:53,"I liked a @YouTube video https://t.co/45UIDVncvf Charlamagne Tha God Talks New Book, Dealing w/ Anxiety + Kanye West",From the bay(Oakland) to L.A.,[]
2856852051,2018-10-29 21:45:52,"Rap is like a Trojan horse for Kanye &amp; Hov. They're so talented, they just happen to rap 🤷🏾‍♂️",,[]
4920041000,2018-10-29 21:45:47,@WolfgangFonso @Jae_Yeezy @kanyewest i have no idea. shes a parasite. and i don't think kanye realizes that because hes naive and stuff so shes taking advantage of him. i miss don c.....,GHOST TOWN,[]
258222450,2018-10-29 21:45:46,"@KanyePodcast Only an artist like Kanye deserves an ongoing podcast dissecting his music and you guys do such a great job, Ye following you was validation of that 👏🏽🔥❤️","Sydney, Australia",[]
2875763522,2018-10-29 21:45:41,@realDonaldTrump Redundancy seems to be another one of your flaws.  Maybe you should do your job instead of throwing shade at everyone and hanging out with Kanye.,,[]
2356640279,2018-10-29 21:45:36,@TeamVisionary Drop my mixtape get Kanye to follow,"Manchester, England",[]
