tweet_id,created,tweet,location,Hashtags
305877382,2018-10-08 04:48:44,Pete Davidson Bashes Kanye West On 'SNL's' 'Weekend Update' https://t.co/bYT6nI71vH,"Napa, CA",[]
3452787035,2018-10-08 04:47:27,"You compared Nixon going to China with Kanye going on SNL.
Your opinion on anything matters why? https://t.co/kyhpx3izNz","Wisconsin, USA",[]
535056421,2018-10-08 04:46:47,@peteddavidson Great job last night on SNL!  You are so talented!  I am a black 60 year old grandmother and agree w… https://t.co/g1bPFZ20Mc,,[]
850556031075745792,2018-10-08 04:43:32,Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/TqrZSUzDg5 via @YouTube,,[]
520485042,2018-10-08 04:39:37,"I cant breath

Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/DlQA0vPLSW via @YouTube",,[]
742526477661396992,2018-10-08 04:38:14,"On snl, Pete Davidson made fun of Kanye, and told him to keep out of politics and stick to music, bc he's only a rapper.  The irony",,[]
23550004,2018-10-08 04:37:40,"Pete Davidson on Kanye’s @nbcsnl @SNLUpdate rant:

“Do you know how wrong about politics you have to be for *me* to… https://t.co/eBG7McGpUo","Ottawa, Canada 🇨🇦",[]
4745000509,2018-10-08 04:28:30,Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/deMouIpnep via @YouTube,"Nevada, USA",[]
3507624377,2018-10-08 04:28:05,"Ariana Grande Makes Subtle Dig at Kanye West,https://t.co/JI3Tev4CuI","Austin, TX",[]
259835017,2018-10-08 04:27:56,Ariana Grande Says She Loves Pete Davidson 'Like Kanye Loves Kanye' Before He Slams West on SNL https://t.co/XjlEOumw65 via @Yahoo,,[]
137545351,2018-10-08 04:26:46,LMAO! Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/xW7a54O2up via @YouTube,Tha D...Westside,[]
1044667744380243969,2018-10-08 04:22:18,"KANYE HAS LEFT SOCIAL MEDIA.
On Oct 6, after causing a social media frenzy about reversing the 13th Amendment, West… https://t.co/7cPyiGcaxs",,[]
387250378,2018-10-08 04:21:05,@RealCandaceO @taylorswift13 @MarshaBlackburn Funny. I looked and I looked and I didn’t see Candace Owens condemnin… https://t.co/yhiM2rzeXf,,[]
32281030,2018-10-08 04:17:41,Pete Davidson’s segment on Kanye last night on SNL 👌🏽,,[]
308191373,2018-10-08 04:14:51,Taylor Swift coincidentally goes public with her liberal political views after Kanye makes a fool of himself on SNL… https://t.co/bPDfDixMOL,"Boston, MA",[]
445996563,2018-10-08 04:12:55,"""Watch Pete Davidson Slam Kanye West for Pro-Trump ‘SNL’ Rant on Weekend Update""  https://t.co/eEdEWSJWgA #entertainment #feedly","Baltimore, MD","[{'text': 'entertainment', 'indices': [106, 120]}, {'text': 'feedly', 'indices': [121, 128]}]"
46248291,2018-10-08 04:11:27,"last week on SNL—Kanye West
this week on SNL—Travis Scott
next week on SNL—Scott Disick?","Los Angeles, CA",[]
39121780,2018-10-08 04:08:55,@charliekirk11 @taylorswift13 Her career has ended?!!!  LMAO!!!!  Biggest star in the world.  You on the other hand… https://t.co/0pSAlc58Cf,Sydney Australia,[]
264720128,2018-10-08 04:03:12,I liked a @YouTube video https://t.co/RDyBttBVXj Candace Owens on Kanye West's Pro-Trump 'SNL' Speech: 'One of the Bravest Men in,"Bedford, Texas",[]
15391102,2018-10-08 04:01:10,Pete Davidson rips Kanye West's 'wrong' pro-Trump rant after 'SNL' https://t.co/CZqf9KDsGr https://t.co/8rfZCTkHTK,"Washington, DC",[]
870534037957246977,2018-10-08 04:00:06,@FoxNews I love how the people who are upset Kanye didn't get to finish his political statement on SNL are the same… https://t.co/PDAYjTVtK4,"Arizona, USA",[]
18749677,2018-10-08 04:00:00,"'Make Kanye 2006 again': Pete Davidson rips Kanye West's pro-Trump rant on SNL
https://t.co/zN1rcCW83S","Queensland, Australia",[]
2545007894,2018-10-08 03:59:02,"Pete Davidson makes me laugh 
Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/ZB2rCZqAHL via @YouTube","Michigan, USA",[]
785968989092446209,2018-10-08 03:55:48,"Pete Davidson Issues Mental Health Plea to Kanye West on SNL
....I’ll leave this right here  https://t.co/Cjn4da907C","St Louis, MO",[]
1019326506995191810,2018-10-08 03:55:14,@LalaDenihan @JackieTalkNerdy @charliekirk11 @taylorswift13 Kanye has been ranting for years and nobody on SNL said… https://t.co/UGXFtPkcMO,,[]
2853324261,2018-10-08 03:54:12,Ariana Grande Makes Subtle Dig at Kanye West While Supporting Pete Davidson on SNL https://t.co/OnpCLVC92f https://t.co/HmYUrUH7Qk,"Nairobi, Kenya",[]
1048611096557486081,2018-10-08 03:51:29,Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/VIwTNEbIsH via @YouTube,,[]
1126108663,2018-10-08 03:50:10,"Watched this when it aired last night and I thought I should tweet it for y’all to have some laughs lol 

Weekend U… https://t.co/UNkfMu2ml1","Hawthorne, CA",[]
631294064,2018-10-08 03:49:00,@charliekirk11 @taylorswift13 Kanye cries on SNL while Taylor sells out STADIUMS across the country. https://t.co/Ijfk68GjSZ,,[]
38609775,2018-10-08 03:48:18,Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/HNvgz9xQjB via @YouTube,,[]
3247354572,2018-10-08 03:47:21,Pete Davidson begs Kanye West to go back on his meds on 'SNL' https://t.co/v2IZSRSqVN,"Denver, CO",[]
992825482663120897,2018-10-08 03:46:10,"@charliekirk11 @taylorswift13 kanye ended it, my ass? taylor is selling out concerts and going on tour. kanye just… https://t.co/xp0woiZQxm",white man’s whore club,[]
110918004,2018-10-08 03:44:50,Pete Davidson Begs Kanye West to Go Back on His Meds on 'SNL' (Watch) | https://t.co/3LvmNI8Dxv https://t.co/I3tvtO9TS0 via @Newsmax,,[]
2598391027,2018-10-08 03:40:18,Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/tqzhHIiwmt via @YouTube,"New Jersey, USA",[]
2658700414,2018-10-08 03:36:32,I liked a @YouTube video https://t.co/xwSPOt0SXc Weekend Update: Pete Davidson on Kanye West - SNL,,[]
42921216,2018-10-08 03:35:29,Pete Davidson rips Kanye West's 'wrong' pro-Trump rant after 'SNL' https://t.co/uC7N8VFLqy https://t.co/8sZlOQfBRr,"St. Louis, Missouri",[]
836346872,2018-10-08 03:33:42,SNL Star Calls Out Kanye As 'Mentally Ill' Following Rapper's Pro-Trump Speech On Show https://t.co/XdOcgPP7e0,kentucky,[]
19046392,2018-10-08 03:33:06,Did you see #PeteDavidson drag #KanyeWest on #SNL last night? https://t.co/5fRMu3TUnA,Los Angeles,"[{'text': 'PeteDavidson', 'indices': [12, 25]}, {'text': 'KanyeWest', 'indices': [31, 41]}, {'text': 'SNL', 'indices': [45, 49]}]"
1703020862,2018-10-08 03:32:05,Pete Davidson Calls Kanye West a 'Jackass' on 'SNL' After Pro-Trump Speech https://t.co/0OhTl1ybze… https://t.co/FEBbiJeWdb,Kyiv,[]
2741661968,2018-10-08 03:31:50,Pete Davidson Hated Kanye West's SNL Monologue And Told Him So https://t.co/ceIlG0EMDS #kanyeWestIsCancelled… https://t.co/E5JStfnRou,Space—the stirlo frontier,"[{'text': 'kanyeWestIsCancelled', 'indices': [87, 108]}]"
19673660,2018-10-08 03:31:32,“We know which side of Kanye is at the wheel right now.” https://t.co/yiCaSB1p2W,"Portland, OR",[]
107129013,2018-10-08 03:31:30,“We know which side of Kanye is at the wheel right now.” https://t.co/otYRWn8QJ8,"Augusta, GA",[]
51954600,2018-10-08 03:31:22,“We know which side of Kanye is at the wheel right now.” https://t.co/CnCK90uSeW,Northern Colorado,[]
148794322,2018-10-08 03:31:21,“We know which side of Kanye is at the wheel right now.” https://t.co/0bVOk0USKe,"Waco, TX",[]
28342372,2018-10-08 03:31:19,“We know which side of Kanye is at the wheel right now.” https://t.co/PZiMJZELws,"ÜT: 26.169003,-97.980553",[]
229238150,2018-10-08 03:31:17,“We know which side of Kanye is at the wheel right now.” https://t.co/1PU78zNOmW,Gallup NM,[]
90480445,2018-10-08 03:31:17,“We know which side of Kanye is at the wheel right now.” https://t.co/NbEE2YhSm9,"Sioux City, IA",[]
502054503,2018-10-08 03:31:16,“We know which side of Kanye is at the wheel right now.” https://t.co/j0gXXKRP7m,"Davenport, Iowa",[]
238227973,2018-10-08 03:31:15,“We know which side of Kanye is at the wheel right now.” https://t.co/ZukbEkpLwk,Denver,[]
234067334,2018-10-08 03:31:15,“We know which side of Kanye is at the wheel right now.” https://t.co/b6bwY0rGbC,"Norfolk, VA",[]
729058261,2018-10-08 03:31:13,“We know which side of Kanye is at the wheel right now.” https://t.co/xO4rv0fgUH,"Harrisonburg, VA",[]
3094371218,2018-10-08 03:31:13,“We know which side of Kanye is at the wheel right now.” https://t.co/E0DtocWX8u,,[]
1688680602,2018-10-08 03:31:13,“We know which side of Kanye is at the wheel right now.” https://t.co/L4iCL8z4YM,,[]
534606959,2018-10-08 03:31:12,“We know which side of Kanye is at the wheel right now.” https://t.co/FYdlOaCKZc,"Bryan, Texas",[]
87373309,2018-10-08 03:31:09,“We know which side of Kanye is at the wheel right now.” https://t.co/95qSnq1uzt,"Albuquerque, NM",[]
16534987,2018-10-08 03:31:09,“We know which side of Kanye is at the wheel right now.” https://t.co/CXV5bObpJT,El Paso,[]
128578213,2018-10-08 03:31:09,“We know which side of Kanye is at the wheel right now.” https://t.co/Idzx8nO0si,"Lima, OH",[]
431838112,2018-10-08 03:31:08,“We know which side of Kanye is at the wheel right now.” https://t.co/8HNHZTzi55,"Chillicothe, Ohio",[]
1735687195,2018-10-08 03:31:07,“We know which side of Kanye is at the wheel right now.” https://t.co/jO6dHwTlMM,"Farmington, NM",[]
145611502,2018-10-08 03:31:05,“We know which side of Kanye is at the wheel right now.” https://t.co/PLOa8TDVPs,Mid-Ohio Valley Radio,[]
788066503,2018-10-08 03:31:04,“We know which side of Kanye is at the wheel right now.” https://t.co/Uce0AJNrLo,"Atlanta, GA",[]
145420743,2018-10-08 03:31:04,“We know which side of Kanye is at the wheel right now.” https://t.co/ZQ8dUPRTD1,"Mansfield, Ohio",[]
142707479,2018-10-08 03:31:03,“We know which side of Kanye is at the wheel right now.” https://t.co/H7XnDSFy3W,"mcallen, texas",[]
23223409,2018-10-08 03:31:02,“We know which side of Kanye is at the wheel right now.” https://t.co/0SJtH9vfac,"Portland, OR",[]
22842932,2018-10-08 03:31:01,“We know which side of Kanye is at the wheel right now.” https://t.co/7gjSCrZ1yg,"Myrtle Beach, SC, USA",[]
145250021,2018-10-08 03:31:01,“We know which side of Kanye is at the wheel right now.” https://t.co/6cvW1wzT1H,Defiance OH,[]
1020058453,2018-10-08 03:31:00,"Pete Davidson called Kanye West's pro-Trump monologue on SNL last week ""one of the worst things I've ever heard.”
https://t.co/mmbiuNDmLK",,[]
745713473254895616,2018-10-08 03:30:56,“We know which side of Kanye is at the wheel right now.” https://t.co/ansaNHHGta,"Modesto, CA",[]
793513416438718468,2018-10-08 03:30:51,“We know which side of Kanye is at the wheel right now.” https://t.co/DfCyyOyvG8,"Atlanta, GA",[]
130210452,2018-10-08 03:30:51,“We know which side of Kanye is at the wheel right now.” https://t.co/vGsJwOP3bl,"Auburn/Opelika, AL",[]
2770016017,2018-10-08 03:30:48,“We know which side of Kanye is at the wheel right now.” https://t.co/pZmbUAe9mJ,Toledo,[]
19392454,2018-10-08 03:30:46,“We know which side of Kanye is at the wheel right now.” https://t.co/ftIAvgDzAb,"Eau Claire, WI",[]
28760183,2018-10-08 03:30:43,“We know which side of Kanye is at the wheel right now.” https://t.co/GSD2XFTxh8,"Albany, GA",[]
89290718,2018-10-08 03:30:40,“We know which side of Kanye is at the wheel right now.” https://t.co/YwyKpiwtAr,"Macon, GA",[]
14268564,2018-10-08 03:30:39,Pete Davidson rips Kanye West's 'wrong' pro-Trump rant after 'SNL' https://t.co/bkdEKvZOQ7 https://t.co/iPoLc8K3DK,Atlanta,[]
39779350,2018-10-08 03:30:38,“We know which side of Kanye is at the wheel right now.” https://t.co/HxZFFiLxjS,#1 for Hip-Hop/R&B in the 757,[]
94196254,2018-10-08 03:30:36,“We know which side of Kanye is at the wheel right now.” https://t.co/3dw5ccFIFf,"Fresno, CA",[]
788466290797142017,2018-10-08 03:28:32,"@HuffPost HuffPo running their same hit pieces all day. It's almost as if they coordinated with Pete ""Butthole Eyes… https://t.co/XtV3o0SXef",,[]
3194745235,2018-10-08 03:26:46,This is the most disgusting thing I’ve seen this week &amp; that includes the Liberal circus of Justice Kavanaugh. Ther… https://t.co/O3ZEKXTw3y,"Florida, USA",[]
26308070,2018-10-08 03:25:53,Pete Davidson calls out Kanye to stick to music yet these SNL so called comedians have been on a political rampage.… https://t.co/o0ptgdSPIh,"Carson City, NV",[]
1681673714,2018-10-08 03:24:00,Pete Davidson on Kanye West for Pro-Trump ‘SNL’ Rant – Rolling Stone https://t.co/PSfuPqc8R9,Oklahoma,[]
2454262386,2018-10-08 03:22:38,I liked a @YouTube video https://t.co/ZJLauFkfN0 Controversy Over Kanye West's Appearance On SNL | The View,"Amarillo, TX",[]
53438514,2018-10-08 03:21:47,@JoelSchoenbach @AP Kanye is too busy ranting on SNL...,,[]
2454262386,2018-10-08 03:20:17,I added a video to a @YouTube playlist https://t.co/ux7vYs6D1N Weekend Update: Pete Davidson on Kanye West - SNL,"Amarillo, TX",[]
3247354572,2018-10-08 03:19:44,Ariana Grande Makes Subtle Dig at Kanye West https://t.co/sWvkX4FKKK,"Denver, CO",[]
9006272,2018-10-08 03:16:38,"Last week on SNL, Kanye told the audience that he got bullied backstage before coming out for his MAGA hat.

This w… https://t.co/9xjmOuGvoX","Vancouver, BC",[]
230589042,2018-10-08 03:14:50,“Being mentally ill is not an excuse to be a jackass.” -Pete Davidson on Kanye West. #SNL #ThanksPete #MakeKanye2006Again,"Carrboro, NC","[{'text': 'SNL', 'indices': [85, 89]}, {'text': 'ThanksPete', 'indices': [90, 101]}, {'text': 'MakeKanye2006Again', 'indices': [102, 121]}]"
1078700582,2018-10-08 03:13:04,I liked a @YouTube video https://t.co/r1W703wSh9 Weekend Update: Pete Davidson on Kanye West - SNL,Lancaster CA,[]
2307009822,2018-10-08 03:12:09,"Wait, Kanye was a bottle of Perrier on SNL?",Rocky Top,[]
881477654834229248,2018-10-08 03:11:09,https://t.co/9Q2hMBcspn,Westeros,[]
2519142203,2018-10-08 03:09:22,@Ms_Yellowhorse @MichaelBerrySho 😂😂😂😂 yo I’m like actually crying @Michaelberrysho comparing Nixon in China to Kanye on SNL,,[]
135680928,2018-10-08 03:08:24,Watch Pete Davidson Slam Kanye West for Pro-Trump ‘SNL’ Rant on Weekend Update https://t.co/czyoNM1mB7 via @RollingStone,Denver CO,[]
95781180,2018-10-08 03:05:09,Pete Davidson Bashes Kanye West On 'SNL's' 'Weekend Update' https://t.co/5gbHW2qnD9,Dallas /Ft Worth Texas Area,[]
58851397,2018-10-08 03:02:28,Pete Davidson Issues Mental Health Plea to Kanye West on SNL https://t.co/tb2tj8MTJ9,Kolkata,[]
1269607374,2018-10-08 03:00:55,😂😂😂Weekend Update: Pete Davidson on Kanye West - SNL https://t.co/b0BNUM1hxb via @YouTube,,[]
2544914191,2018-10-08 03:00:43,Pete Davidson Begs Kanye West to Go Back on His Meds on ‘SNL’ (Watch) https://t.co/Q0zzvXksFf via @variety,,[]
834551471840575490,2018-10-08 03:00:22,"Snooty has-been show SNL dumps on Kanye West, as if anyone cares about them anymore.: https://t.co/QbuVn1t0TV via @YouTube","Ohio, USA",[]
56946891,2018-10-08 02:57:15,I liked a @YouTube video https://t.co/uyiGvOlWlZ Kanye West Doubles Down On #MAGA Love On SNL &amp; Twitter,"Vermont, Burlington","[{'text': 'MAGA', 'indices': [76, 81]}]"
436792718,2018-10-08 02:57:05,New post (Ariana Grande Makes Subtle Dig at Kanye West While Supporting Pete Davidson on SNL) has been published on… https://t.co/AOR9sfDdaf,United States,[]
1031268024622309376,2018-10-08 02:56:26,"@awkwafina on ‘SNL’: 3 Sketches You Have to See

#GOP’s post #Kavanaugh confirmation celebration, “Emergency Alert”… https://t.co/C2703Llrdx",San Francisco Bay Area,"[{'text': 'GOP', 'indices': [49, 53]}, {'text': 'Kavanaugh', 'indices': [61, 71]}]"
1031412711962357760,2018-10-08 02:55:27,@iamrapaport @MichaelRapaport @GeraldMoody1560 Kanye has lost his damn mind...yet again!!! I did like Pete Davidson… https://t.co/LLIPMUwlsb,,[]
32242925,2018-10-08 02:55:22,I liked a @YouTube video https://t.co/GiyI2D0IzX Weekend Update: Pete Davidson on Kanye West - SNL,"Illinois, Chicago",[]
