tweet_id,created,tweet,location,Hashtags
951269875514830848,2018-10-15 22:14:23,Coochie overrated give me eternal atake and yandhi,"Florida, USA",[]
3271540051,2018-10-15 22:12:03,Kanye is gonna drop fire with Yandhi and i’m gonna forget about everything he’s said and done,,[]
1029161899135447040,2018-10-15 22:08:02,@ThisIsNinoBlu This is direct reference to Yandhi right? lol,,[]
154240011,2018-10-15 22:06:47,@TrelloDeLaGetto YANDHI - 11/23.,Baltimore,[]
1006804156924006401,2018-10-15 21:52:26,"@kanyewest drop yandhi, no balls","Kansas, USA",[]
441796984,2018-10-15 21:29:29,Yandhi about to feature Donald Trump nbs https://t.co/ELGhznNYBQ,,[]
117457565,2018-10-15 21:25:35,"@Masiya_Mabaso @Genius @PapiZwane @sabza007 Last I checked he was taking meds, so I think he does. But he’s gone fr… https://t.co/NghbHCDaqC","Newcastle, KZN, South Africa",[]
29061025,2018-10-15 21:16:38,“Yandhi” hey.. https://t.co/PzUzPVyxr3,,[]
1137751327,2018-10-15 21:14:21,"If this is a YANDHI listening session, THANK YOU YE 🔥🔥 https://t.co/x4Twv2Jcp3",,[]
1006256096,2018-10-15 21:13:18,"@CathNalule Don't be shocked if there's a full song titled ""kanyesigye"" on Yandhi https://t.co/ZOaSExE8HR",Uganda,[]
2358458547,2018-10-15 21:11:17,"About #Ye or #KanyeWest...
https://t.co/pkgvni1qAA","Paris, France","[{'text': 'Ye', 'indices': [6, 9]}, {'text': 'KanyeWest', 'indices': [13, 23]}]"
945756343,2018-10-15 21:07:10,YANDHI album of the year fr https://t.co/fq6CYAVH8m,Gwinnett,[]
1143766556,2018-10-15 21:06:45,@PoeticCrime @waltersobchak01 @kanyewest Is this Yandhi?,,[]
3233577634,2018-10-15 21:05:14,"*Laughs in Yandhi, Room 25, Ye and KSG* https://t.co/JTwI1qTRez",eating jollof rice,[]
2543641769,2018-10-15 21:04:09,I liked a @YouTube video https://t.co/iX2EbBXE93 Kanye West Says 'Yandhi' Album Is Delayed So He Can Record in Africa | TMZ,,[]
713048111,2018-10-15 21:01:30,yandhi deadass never came out,f4,[]
992888799637196802,2018-10-15 20:56:41,@HasanAsheed_ I mean I listened to Ye and kids see ghosts that's it I probably it got me no yandhi,"Tallahassee, FL",[]
