tweet_id,created,tweet,location,Hashtags
90393035,2018-10-21 21:25:39,"@kanyewest @trvisXX
You guys are artistic and I love your style.Kanye,love that you are open to your mental issues.Many in denial.Travis,sicko mode https://t.co/M59fyrANw1 you being a Rockets fan. You 2 make Kardashians even better.Faves in one show❤️",East Texas,[]
278958316,2018-10-21 21:25:27,Kanye West Responds To Snoop Dogg Claiming Kim Kardashian Slept With Drake https://t.co/RvBoU6Iwzm,"lagos, nigeria.",[]
1878683947,2018-10-21 21:25:22,"Kanye did not change, it is the world that changed. He is the artist that witnessed the transition.

Kanye was once the Sweetheart of the hip hop world, then the World changed, (so it's norms and culture changed too.)

And the (same) Kanye now sounds like a sell out.",Dreamland,[]
489361848,2018-10-21 21:25:17,I love Kanye,,[]
240016492,2018-10-21 21:25:04,Candace Owens and Kanye want to unite black Americans behind the GOP https://t.co/Yi49HCjXei,"dayton,ohio",[]
1048632695130136582,2018-10-21 21:25:04,Tonight @AlecBaldwin has Kim Kardashian West on his show - I sure hope he asked her if #Kanye is back on his meds! And maybe he'll give her a box of matches for that #MAGA hat he wears!!,"Texas, USA","[{'text': 'Kanye', 'indices': [87, 93]}, {'text': 'MAGA', 'indices': [166, 171]}]"
238028502,2018-10-21 21:24:58,Peak 2018 will be Kanye coming out in support of Brother Nature with a salvo about everybody loving everybody,"Columbus, Oh",[]
1008804288485785600,2018-10-21 21:24:48,@benshapiro How about we don't cover any of Kanye's politics as news?,the center of awful,[]
2346165128,2018-10-21 21:24:35,Wtf happened to Kanye West? Make America Ghetto Again https://t.co/wXxdnA47f9,,[]
59456126,2018-10-21 21:24:15,I liked a @YouTube video https://t.co/1QmplxlfhE Snoop Dogg Roast Kanye After Finding Draked Smashed Kim Kardashian! Keke?,Lisbon - Portugal,[]
799104738470096896,2018-10-21 21:24:05,"Video: Colbert Goes After Alex Jones, Kanye West in ‘Sesame Street Audition’ https://t.co/dTxjN4FzPB https://t.co/2jsyjcZgZt","New York, USA",[]
747926072524578819,2018-10-21 21:24:02,"Kanye has publically sided with a man who is a racist, sexist, and a sexual assaulter. Tolerating these well known facts about Trump and supporting them is as bad as actually doing them https://t.co/VQMi6kFXYJ",,[]
137501586,2018-10-21 21:23:49,Kanye West Responds To Snoop Dogg Claiming Kim Kardashian Slept With Drake https://t.co/OpkiCwgWcZ,"New York, USA",[]
102551981,2018-10-21 21:23:45,@TheRealDevonA @TalibKweli @shaunking @kanyewest and Trump likes Kanye because Kanye likes him so there is a very good chance neither likes each other really,UK,[]
795661569858224128,2018-10-21 21:23:38,@ComptonSosa @yatttaken Kanye old shit gets run too tho..,"Compton, CA",[]
