id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>
1,alec,-0.3479,-0.0036,3,16,87,58
2,alec baldwin,-0.3945,0.0655,8,19,113,63
3,alec baldwin return,-0.5024,0.2662,8,9,153,124
4,alec baldwin returns snl mock trump meeting kanye west,-0.062,-0.0341,9,1,12,24
5,alec baldwin returns snl spoof trump,-0.4925,0.2489,8,1,25,29
6,alec baldwin returns trump,-0.6563,-0.6494,20,3,147,73
7,ariana,-0.1203,-0.0891,11,7,77,44
8,ariana grande,-0.1617,-0.0683,11,12,137,65
9,birdman & young thug kanye snl guest,-0.7329,0.024,6,4,137,74
10,black trump,-0.3627,-0.0441,3,5,112,69
11,black version,-0.3821,0.0359,3,4,118,34
12,chris,-0.2822,0.0142,1,10,53,51
13,cnn,-0.4244,-0.0815,3,3,20,20
14,course snl clowned kanye,-0.8042,-0.2465,5,1,27,27
15,crazed snl meeting,-0.3626,-0.0454,3,5,103,48
16,crazy racist,-0.1692,0.243,15,7,86,42
17,donald trump,-0.3537,0.0359,3,16,286,181
18,donald trump cold,-0.1327,-0.3068,13,11,1699,889
19,donald trumps oval office meeting,-0.0948,-0.0382,9,4,77,28
20,dont,-0.2285,-0.0331,1,8,20,28
21,episode,-0.6526,0.0213,6,10,63,52
22,everyone,-0.1956,-0.0327,1,9,19,25
23,excuse,-0.1521,-0.0067,1,6,38,36
24,fox news host rages snl skit kanye trump,-0.1629,0.2569,15,2,62,32
25,god,-0.2967,0.2131,4,10,92,57
26,god he,-0.2971,0.2438,4,6,55,49
27,guy,-0.2307,0.0078,2,17,47,49
28,hat,-0.2287,-0.0127,1,17,68,47
29,huffpost,-0.359,-0.0878,12,7,100,49
30,ill excuse act,-0.2195,-0.0912,2,9,24,24
31,kanye,-0.1651,-0.0306,1,72,2313,1745
32,kanye meeting,-0.292,0.2122,4,6,77,45
33,kanye snl,-0.222,-0.0299,1,16,37,98
34,kanye visit,-0.8061,-0.1744,18,4,64,51
35,kanye west,-0.3045,0.0135,3,52,818,586
36,kanye west black snl cold,-0.314,0.1141,7,2,26,21
37,kanye west donald trump cold,-0.779,-0.2899,5,2,42,31
38,kanye west jackass snl,-0.2235,-0.0853,2,3,38,21
39,kanye west oval office,18.1058,-0.1195,16,1,67,67
40,kanye wests snl monologue,-0.1429,-0.0949,2,1,23,23
41,kenan,-0.232,-0.0784,2,6,27,30
42,love,-0.2232,-0.0634,1,20,71,52
43,maga hat,-0.2159,-0.0187,1,15,51,39
44,maga hat snl,-0.2206,-0.0146,1,10,27,22
45,med,-0.1929,-0.0548,7,10,58,43
46,meds snl,-0.0708,-0.0515,9,3,114,38
47,mental health issue,-0.931,-0.3072,5,8,254,70
48,meyer,-0.2885,0.0056,7,11,85,79
49,meyers revife,-0.2311,0.0238,1,2,42,21
50,new story npr,0.4205,0.8261,10,4,102,37
51,news,-0.2383,0.049,2,23,78,51
52,night,-0.2362,0.0264,1,21,108,90
53,npr,0.4201,0.8258,10,5,47,28
54,nyt,-0.2677,0.2133,4,4,216,72
55,oval office m,-0.3838,0.0361,3,4,92,24
