Tweet ID,Date,Positive Sentiments,Neutral Sentiments,Negative Sentiments
16462068,10/15/18 5:00,0.128787879,0,0
2227607945,10/15/18 3:44,0.5,0,0
8.17582E+17,10/15/18 3:38,0,0,0
7.70473E+17,10/15/18 3:35,0.136363636,0,0
87287287,10/15/18 3:31,0,0,0
15791186,10/15/18 3:30,0,0,-0.1
16376168,10/15/18 3:30,0,0,-0.166666667
104625728,10/15/18 3:26,0,0,0
24108865,10/15/18 3:17,0,0,0
1.03714E+18,10/15/18 3:15,0.261904762,0,0
24700876,10/15/18 3:10,0,0,0
1309152008,10/15/18 3:08,0.066666667,0,0
127416296,10/15/18 3:02,0,0,0
9.4939E+17,10/15/18 2:52,0,0,0
709862005,10/15/18 2:33,0,0,0
232577440,10/15/18 2:31,0,0,-0.6
7.70459E+17,10/15/18 2:28,0,0,-0.05
467687178,10/15/18 2:24,0,0,-0.5
7.91444E+17,10/15/18 2:20,0,0,0
15756056,10/15/18 2:20,0,0,-0.1
30788083,10/15/18 2:14,0,0,0
2265227667,10/15/18 2:11,0,0,-0.166666667
380138716,10/15/18 2:11,0,0,0
14185814,10/15/18 2:10,0,0,-0.1
400103414,10/15/18 2:08,0.4,0,0
8.22911E+17,10/15/18 1:54,0,0,-0.3875
7.03294E+17,10/15/18 1:53,0,0,0
21212683,10/15/18 1:53,0,0,0
14268564,10/15/18 1:45,0,0,-0.1
147729172,10/15/18 1:43,0.3,0,0
325915609,10/15/18 1:38,0.2,0,0
1.00189E+18,10/15/18 1:34,0,0,0
251713323,10/15/18 1:34,0.25,0,0
7.18921E+17,10/15/18 1:34,0.15,0,0
585926110,10/15/18 1:31,0.2,0,0
14892827,10/15/18 1:22,0,0,0
7.46413E+17,10/15/18 1:14,0,0,0
14296548,10/15/18 1:12,0,0,-0.1
1.03709E+18,10/15/18 1:08,0,0,-0.35
2934990989,10/15/18 1:07,0.068181818,0,0
41954681,10/15/18 1:05,0.25,0,0
7.3911E+17,10/15/18 1:05,0,0,-0.1
218604340,10/15/18 1:01,0.3,0,0
16012783,10/15/18 1:00,0,0,-0.166666667
