id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>
1,13th amendment,-0.0788,-0.4803,4,23,37,26
2,african american,-0.6252,-0.6281,5,13,40,26
3,album,-0.0227,0.5878,6,86,270,242
4,alex jone,2.9942,-0.5958,14,8,94,33
5,anyone,0.0099,-0.0302,8,56,127,102
6,anything,0.0121,-0.1262,1,60,142,103
7,artist,0.0262,0.2848,4,41,102,85
8,artists week,-2.2795,0.6933,9,7,82,36
9,ass,0.0805,-0.1931,1,61,145,116
10,attention,-0.0117,0.001,4,45,72,48
11,black,-0.3778,-0.4484,5,58,255,131
12,black man,-0.0907,-0.3697,1,30,43,31
13,black person,-0.2857,-0.4616,5,71,243,170
14,black voter,-0.5245,-0.5666,5,23,65,36
15,blexit,-0.2392,-0.3677,5,62,205,107
16,brother nature,0.2437,-0.18,2,19,45,27
17,candace,0.1071,-0.1511,1,66,143,94
18,cant,0.0661,0.0259,1,81,186,138
19,care,0.0492,-0.1765,1,51,99,78
20,career,0.3078,0.0108,1,38,104,84
21,celebrity,-0.0266,-0.2434,7,39,96,65
22,chance,-0.383,-0.0211,2,30,63,47
23,charlamagne,-0.0351,0.6468,6,16,76,44
24,choice,-0.045,-0.3153,4,54,120,70
25,cnn,-0.3446,0.1275,3,37,112,71
26,colbert,3.018,-0.5963,14,6,93,32
27,comment,-0.2149,0.2473,3,43,123,102
28,cool kanye,-0.2095,-0.7752,15,2,2,25
29,country,-0.281,-0.0835,2,48,88,67
30,dave chappelle,-0.7344,-0.6191,7,17,120,69
31,day,0.0759,-0.0483,4,91,220,170
32,dem,-0.3215,-0.258,8,38,96,65
33,demo,0.4692,1.3265,11,8,72,37
34,democrat,-0.2429,-0.3882,5,83,314,156
35,democratic party,-0.5761,-0.6166,5,27,131,66
36,didnt,0.0514,-0.1073,2,66,131,105
37,doesnt,-0.0918,-0.1908,1,66,134,103
38,donald trump,-0.3291,-0.2153,7,28,65,60
39,donald trump cold,-0.7219,0.7338,3,4,99,62
40,dont,0.2213,-0.0615,13,107,416,252
41,drake,-0.4599,0.1991,2,80,300,310
42,dude,0.1645,0.0355,4,38,64,46
43,episode,-1.1357,0.0936,12,26,52,53
44,everybody,0.2062,0.275,8,32,53,35
45,everyone,0.124,-0.0882,1,80,195,149
46,everything,0.3287,0.3624,2,51,108,76
47,eye,0.4229,-0.0237,13,35,134,69
48,fabolous kanye & more,-2.1414,0.1412,12,6,108,39
49,fact,0.07,-0.3638,1,65,128,94
50,fan,0.0282,0.0366,6,62,132,135
51,feel,-0.0809,-0.0356,1,48,89,47
53,follower,-0.2385,0.2023,3,22,43,39
54,friend,-0.099,-0.2174,4,70,157,121
55,genius,-0.3355,-0.0318,2,47,96,87
56,ghost,-1.441,0.4691,9,10,43,27
57,gift,0.6645,-1.5535,16,15,92,62
58,girl,0.1257,-0.2958,2,45,75,52
59,god,-0.0007,0.4353,6,58,202,138
60,guess,0.3868,-0.1021,1,22,31,25
61,guy,0.1068,-0.1851,2,94,234,162
62,hat,-0.2087,0.0665,5,46,91,67
63,hate,0.1794,-0.3812,2,34,73,46
64,head,-0.2799,0.0344,1,45,81,59
65,hell,-0.0622,-0.2254,1,50,103,74
66,help,0.0299,-0.1148,1,46,91,70
67,hope,-0.4116,-0.0925,12,37,60,36
68,idea,-0.2188,-0.1481,1,40,71,52
69,idk,0.2496,0.9535,11,21,62,44
70,ive,0.1706,0.2016,13,43,120,76
71,jay z,-0.1315,0.354,9,23,41,41
72,job,-0.3384,-0.4217,4,29,55,40
73,jotafm,-2.2828,0.6888,9,7,88,41
74,kanye,-0.0401,-0.0734,1,184,5277,7174
75,kanye trump,-0.4192,-0.3995,7,33,58,75
76,kanye west,-0.4095,0.1154,9,178,1874,2006
77,kanye west & lil pump,1.5239,0.4265,10,5,54,44
78,kanye west & lil pump ft adele,2.7314,0.653,10,6,67,36
79,kanye west kim kardashian,-0.6204,0.7951,3,7,21,44
80,kanye west return,0.0092,0.7264,3,3,9,22
81,kanye wests idk,0.5069,1.4194,11,3,43,21
82,kanye wests mental health talk,-0.0381,0.7317,6,4,4,27
83,kanye wests yandhi album,0.1383,1.8122,6,5,50,35
84,kanyewest,-0.4661,-0.1719,5,46,111,90
85,kardashian,0.0694,-0.213,1,44,81,67
86,kid,-0.9021,0.2741,9,58,189,123
87,kim,-0.0612,-0.3747,2,72,203,178
88,kim kanye,-0.2034,0.0975,8,12,13,33
89,kim kardashian,-0.4792,-0.1356,7,40,228,179
90,lemon,-0.3431,0.2061,3,42,154,103
91,liberal,-0.0866,-0.4233,1,34,67,50
92,life,-0.1673,-0.0388,9,58,112,92
93,light,-0.3097,0.2508,9,22,40,40
94,lol,0.1114,-0.0095,1,82,217,211
95,lol kanye,0.0521,-0.1386,1,14,16,25
96,look,-0.2017,-0.5508,15,57,87,70
97,lot,0.3441,-0.1185,1,27,47,33
98,love,1.9294,0.4579,10,90,504,370
99,love kanye,0.2758,-0.1417,2,33,51,72
100,lyric,0.519,0.2539,11,27,56,68
101,maga,0.304,-0.2974,1,41,85,76
102,maga hat,-0.14,-0.0927,1,55,128,89
103,man,0.0192,-0.1969,1,117,387,302
104,manic episode,-0.8637,-0.7304,7,12,62,22
105,manipulative moves & ye,2.0183,-0.7353,14,2,2,29
106,maxine waters mouth,0.7529,-1.6944,16,5,67,32
107,med,-0.1975,-0.0876,1,34,61,57
108,medium,-0.289,-0.2639,7,54,154,99
109,meeting,-0.4436,0.1849,3,32,113,107
110,mental health,-0.2921,0.2023,6,23,56,53
112,message,0.2833,-0.2888,13,39,161,79
113,migo,0.1239,1.7643,6,10,94,58
114,mind,-0.1238,-0.3202,7,65,170,112
115,minute,0.1354,0.1105,1,34,58,33
116,money,0.1671,-0.2588,1,39,78,49
117,music,0.2853,0.2858,8,96,260,220
