id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>
1,account,-0.4537,0.0763,7,7,25,19
2,africa,0.0237,-0.8071,9,21,110,57
3,aint,-0.073,-0.0578,1,13,27,31
4,album,-0.4132,0.3249,13,99,880,546
5,album yandhi,0.0262,0.1697,4,23,67,53
6,anyone,-0.1224,0.0174,2,8,22,22
7,anything,-0.0552,-0.0782,3,20,37,33
8,beat,0.4356,-1.227,15,20,81,94
9,best album,0.1284,0.0714,10,8,23,24
11,birthday,-0.1956,-0.2226,3,6,16,17
12,black friday,-0.1691,0.0662,2,15,25,28
13,body,0.4891,0.1407,14,20,102,56
14,body shaming,0.84,0.175,8,14,153,70
15,body shaming yandhi,1.2214,0.1756,8,4,34,14
16,bro,-0.0754,0.0315,2,20,52,57
17,cant,-0.118,-0.2957,9,20,41,32
18,cant wait,-0.1758,-0.0726,1,26,78,73
19,cant wait yandhi drop,-0.3739,-0.383,11,1,2,10
20,classic,-0.0731,0.0022,2,20,60,85
21,cool tape story swizz,-2.1058,0.4559,5,12,112,12
22,cringeworthy dance,0.3644,-0.4554,7,2,29,29
24,day,-0.1979,-0.0177,3,40,100,84
25,degree,-0.1076,-0.2123,1,10,16,11
26,degrees yandhi snippet,-0.1426,-1.0646,6,4,26,28
27,doesnt,-0.3186,0.0955,20,9,22,19
28,dont,-0.0829,0.0384,3,21,56,58
29,drake,-0.015,0.0509,2,19,82,52
30,drop,-0.0971,0.0415,2,52,166,320
31,drop yandhi,-0.1172,-0.1462,3,17,41,80
32,end,-0.304,-0.0126,3,5,12,21
33,everyone,-0.0536,-0.0196,1,27,62,45
34,everything,-0.3668,-0.2462,11,19,61,41
35,familium,0.4039,0.7619,10,5,18,13
36,fan,-0.0123,-0.0342,2,29,73,54
37,feat teyana taylor,-0.1356,-0.4144,6,5,36,16
38,feature,0.0129,0.1454,14,24,75,80
39,feature yandhi,-0.1552,0.21,2,6,7,32
40,feel,-0.2959,0.1045,20,11,34,26
41,fire,-0.3568,-0.0944,4,13,59,77
42,full album,-0.1091,-0.508,11,5,21,17
43,gandhi,0.1344,0.1626,10,11,35,25
44,ghost,-0.2228,-0.1329,1,15,49,19
45,god,-0.3528,-0.36,11,14,31,33
46,gonna,-0.2043,0.2831,2,14,27,29
47,guy,-0.1471,-0.0883,1,26,65,63
48,hell,-0.1061,-0.0025,2,19,39,30
49,hope,-0.0355,-0.1274,1,12,24,19
50,imma,-0.0221,-0.0504,2,4,16,17
51,interlude,0.5372,-1.5257,15,5,42,23
52,kanye,0.7075,0.0932,12,128,1321,969
53,kanye album,-0.335,0.0906,20,7,27,20
54,kanye west,0.3613,-0.1482,7,71,702,419
56,kanye west rocks local music uganda,0.5146,1.9339,19,5,105,100
57,kanye west rocks tent uganda,-0.3623,0.3804,2,1,10,10
58,kanye west shut,0.7122,0.2524,17,3,36,12
60,kanye west uganda,0.0259,0.2563,4,9,32,20
61,kanye west wife kim kardashian,0.1468,0.5177,4,6,66,33
62,kanye wests yandhi album,0.4326,1.0646,13,5,64,38
63,kanye yandhi,-0.0522,-0.0372,1,7,19,17
64,kanyewest,0.1302,0.1533,7,26,65,64
65,keep,-0.049,-0.1423,3,8,21,14
66,kid,-0.1694,-0.1478,1,32,97,49
67,last rocket lil baby,-2.0381,0.4359,5,14,155,20
68,laugh wit,0.1638,0.1848,7,1,1,10
69,leak snippet,-0.0413,-0.9727,6,2,18,23
70,letter,-0.3116,0.7341,4,5,15,12
71,life,-0.1687,-0.0809,4,19,39,41
72,live recording session,0.0145,-0.9843,9,5,69,23
73,lol,0.0148,-0.0171,2,18,55,61
74,lot,-0.0062,-0.0529,2,9,19,12
75,love,-0.1724,-0.4382,6,34,103,56
76,man,-0.4276,-0.0678,3,39,147,117
77,matter,-0.0295,-0.0076,2,16,30,20
78,mbdtf,-0.2352,-0.0783,8,13,49,29
79,migo,0.2228,0.8697,13,19,409,240
80,minaj,0.7912,-0.0919,14,6,22,12
81,minaj address body shaming,2.4403,0.342,12,1,10,10
82,minaj reunite,1.0874,-0.1944,18,3,36,12
83,minaj yandhi collaboration,2.4303,0.4041,12,1,21,21
84,minute,-0.2683,-0.0136,1,9,11,14
85,month,-0.1471,-0.055,1,35,105,88
86,mood,-0.0385,-0.1575,1,11,28,16
87,music,-0.0646,0.181,4,36,119,80
88,music best planet,2.4486,0.2795,12,1,5,10
89,music marketing,0.452,-0.5623,7,4,36,34
90,name,-0.0294,0.2347,4,17,45,43
91,national park,0.7081,0.2579,17,5,40,16
92,nchini marekani,0.7103,0.6294,17,4,26,14
93,need,-0.1941,0.0276,1,19,30,35
95,new album,0.0479,0.4815,4,30,162,95
96,new album yandhi,-0.0057,0.4364,4,15,49,38
98,news,0.1781,0.0635,14,14,32,28
99,next album,0.0202,0.2426,4,5,19,13
100,next month,-0.1585,-0.2175,1,24,76,53
101,nicki,0.0767,0.0608,14,16,67,41
102,nicki minaj,0.6025,0.0825,8,20,153,74
103,nicki minaj collaborating song,1.1859,0.187,8,6,82,38
104,nigga,0.0116,-0.2977,3,23,57,50
106,nov,-0.2783,0.1249,2,16,35,21
107,november,-1.2438,0.2534,5,45,278,101
108,outdoor studio uganda record new music,0.2718,-0.2617,3,3,21,11
109,oxnard action bronson,-2.0826,0.4448,5,12,150,19
110,pair yeezy,4.3125,0.6461,12,2,40,22
111,part,-0.1761,0.5347,4,17,47,27
112,periscope,-1.1965,1.1218,13,1,5,10
113,person,-0.1977,0.006,1,61,173,110
114,pitbull,0.1085,-1.2659,9,2,8,12
115,point,-0.2099,-0.0166,3,8,14,23
116,poison mike,-2.1664,0.4683,5,10,99,10
117,president uganda,4.312,0.6465,12,2,40,20
118,project,-0.7277,0.0751,5,16,77,39
119,quavo,0.3847,0.6235,13,16,292,165
120,rapper,0.1804,0.7361,4,20,93,53
121,rapper kanye west,-0.292,0.7205,4,5,24,15
122,raw snippet,-0.265,-1.4717,6,5,111,159
123,ready yandhi,-1.5763,0.3233,5,1,2,17
124,reason,-0.0008,0.2195,4,8,19,22
125,record new yandhi album,0.5521,2.0687,19,1,15,20
126,record yandhi,-0.3513,0.3664,2,8,18,16
127,record yandhi album,0.491,1.8324,19,5,98,86
128,release,-0.2545,-0.0238,1,30,87,58
129,release date,-0.0968,-0.0725,3,28,48,23
130,release yandhi,0.3102,-0.1764,3,7,22,61
131,repost,0.1201,0.2959,7,5,12,11
133,safari lodge finish album,0.5912,0.5407,10,4,98,50
134,sample yandhi,-0.1074,-0.3426,9,2,9,16
135,season,-0.0076,0.1586,2,5,13,33
136,sense,-0.5999,0.1152,16,9,26,18
138,shit,-0.0887,-0.0542,1,34,111,83
139,slap,-0.0651,0.3334,3,4,19,15
140,snippet,-0.2611,-0.0871,1,11,26,30
141,snl performance,-0.1266,-0.7703,6,7,21,10
142,somebody,0.312,-0.0265,2,5,12,15
143,someone,-0.1936,0.0332,1,13,22,20
144,something,0.0123,0.0083,2,14,51,47
145,song,-0.1091,0.0343,4,51,163,113
146,song kanye west,0.0471,1.394,13,2,80,42
147,sound,-0.3434,0.0519,1,19,40,39
148,soundtrack,-1.8044,0.3484,5,16,141,25
149,street gossip,-1.8829,0.4397,5,16,178,24
150,studio,0.3747,0.3674,10,20,170,93
151,studio records new album yandhi,1.1532,-0.4755,7,1,10,10
152,sunset tape,-1.929,0.4097,5,16,152,20
154,thing,-0.1431,-0.0472,1,27,67,57
156,time,-0.097,0.0385,1,46,108,107
157,tmz,0.1271,-0.7902,6,5,40,20
158,track,0.6336,-0.1363,18,26,141,93
159,track nicki minaj yandhi,0.611,0.1991,14,4,22,10
160,trash,-0.2367,0.0158,1,15,31,26
161,trump,0.0658,-0.1084,3,34,99,88
162,tweet,-0.2615,-0.0768,1,8,23,24
163,twitter account bizarre video,0.2056,0.802,4,3,30,10
164,uganda,0.3286,0.3216,17,32,300,199
165,ugandan record label,-0.0103,0.426,4,5,13,11
166,vibe,-0.0114,-0.3662,3,9,27,41
167,video,-0.1405,-0.1265,1,39,92,62
168,video free kanye,0.5113,-1.4389,15,2,26,18
169,video kanye,-0.0205,-0.9575,6,13,117,80
170,video kanye west & tyga,-0.2885,-1.5645,6,3,83,79
171,video playlist,0.5407,-1.5235,15,4,35,23
172,video playlist kanye,-0.2006,-1.2096,6,5,43,43
173,video playlist kanye west,-0.1662,-0.5283,11,9,37,24
174,wait,0.1437,0.1055,10,8,18,23
175,watch,0.3304,-0.1309,8,16,60,42
177,way,-0.4258,0.0839,16,21,48,39
178,week,-0.2147,-0.0097,1,18,42,50
179,west,0.1127,-0.3242,7,28,53,42
180,white bronco jaden smith,-2.1646,0.4707,5,10,107,11
181,white house,0.3938,-0.1892,3,6,23,19
182,wont,-0.4424,0.1011,16,7,17,20
183,word,-0.1864,-0.0721,1,9,30,26
184,work,0.1246,-0.2305,3,25,67,51
185,world,-0.1952,0.1016,3,27,56,40
186,wow,-0.2013,-0.1616,9,9,21,11
187,yall,0.0821,0.0288,2,27,72,80
188,yandhi,-0.1193,-0.1161,2,117,1353,2234
189,yandhi album,0.286,-0.1333,17,41,262,169
190,yandhi album cover,-0.6269,0.1215,16,1,5,13
191,yandhi album year,0.1746,0.1542,10,3,6,21
192,yandhi aoty,0.109,-1.2543,9,3,3,14
193,yandhi body,1.0875,-0.1941,18,3,36,12
194,yandhi classic,-0.3874,-0.3495,11,2,2,27
195,yandhi drop,-0.0306,-0.0364,2,15,38,93
196,yandhi gonna,-0.302,-0.1202,1,7,17,33
197,yandhi kanye,0.0131,-0.0466,7,8,19,33
198,yandhi leak,-0.278,-0.0521,1,11,19,21
199,yandhi lol,-0.253,-0.0685,4,5,9,14
200,yandhi raw snippet,1.0073,-0.1571,18,2,8,17
201,yandhi season,0.0015,-0.3737,3,2,2,25
202,yandhi shit,-0.4706,0.0964,16,1,3,11
203,yandhi snippet,-0.0872,-0.2817,1,15,36,44
204,yandhi sound,-0.0858,-0.3463,9,8,15,12
205,yandhi szn,-0.0521,0.0123,2,3,3,33
206,yandhi takeoff,-2.0818,0.4472,5,12,150,19
207,yandhi track,0.5073,-0.0032,8,3,11,11
208,yandhi tracklist,-0.129,-0.0088,1,4,10,12
209,yandhi x godr type beat,0.5569,-1.5716,15,2,22,11
211,year,-0.2345,-0.1392,1,29,121,90
212,yeezus,0.0322,-0.1178,8,17,60,43
213,yeezy,0.0718,0.0829,10,16,38,42
