Tweet ID,Date,Positive Sentiments,Neutral Sentiments,Negative Sentiments
4550037382,10/21/18 21:40,0.5,0,0
329120391,10/21/18 21:40,0,0,0
865155780,10/21/18 21:33,0,0,0
7.36069E+17,10/21/18 21:30,0.5,0,0
9.32039E+17,10/21/18 21:19,0.508928571,0,0
9.72828E+17,10/21/18 21:05,0.1,0,0
242957285,10/21/18 20:57,0.383333333,0,0
9.45324E+17,10/21/18 20:51,0,0,0
7.71723E+17,10/21/18 20:45,0,0,0
3180905845,10/21/18 20:42,0.136363636,0,0
313176618,10/21/18 20:39,0,0,0
434099629,10/21/18 20:39,0,0,-0.5
9.0164E+17,10/21/18 20:35,0.136363636,0,0
9.49184E+17,10/21/18 20:35,0,0,0
2275228560,10/21/18 20:35,0,0,0
420225939,10/21/18 20:35,0,0,0
4848266721,10/21/18 20:34,0,0,0
427346876,10/21/18 20:30,0,0,0
1693482374,10/21/18 20:29,0,0,0
285945569,10/21/18 20:24,0,0,0
32620103,10/21/18 20:21,0,0,0
2305531388,10/21/18 20:18,0.6,0,0
1.03012E+18,10/21/18 20:09,0,0,0
1677815010,10/21/18 20:05,0,0,0
976496480,10/21/18 20:05,0,0,0
35888678,10/21/18 20:05,0.136363636,0,0
2396931925,10/21/18 20:03,0,0,0
14629315,10/21/18 20:02,0,0,0
595393995,10/21/18 20:02,0,0,0
80597407,10/21/18 20:01,0,0,0
9.30856E+17,10/21/18 19:59,0,0,0
2834786116,10/21/18 19:58,0,0,0
2436972589,10/21/18 19:57,0,0,0
7.71806E+17,10/21/18 19:17,0.375,0,0
207733048,10/21/18 19:11,0.033333333,0,0
19671932,10/21/18 19:10,0,0,0
237481929,10/21/18 19:09,0.218181818,0,0
515952621,10/21/18 18:58,0,0,0
574602229,10/21/18 18:56,0,0,-0.6
2308371402,10/21/18 18:46,0,0,0
177137149,10/21/18 18:44,0.355,0,0
7.71723E+17,10/21/18 18:37,0,0,0
1237903560,10/21/18 18:21,0,0,0
1.04623E+18,10/21/18 18:20,0,0,-0.4
4660483757,10/21/18 18:10,0,0,0
7.29584E+17,10/21/18 18:08,0.35,0,0
7.6323E+17,10/21/18 18:08,0,0,0
167781199,10/21/18 18:00,0,0,0
7.29584E+17,10/21/18 17:59,0.033333333,0,0
2941980311,10/21/18 17:39,0.6,0,0
1.00121E+18,10/21/18 17:38,0,0,0
1461907969,10/21/18 17:26,0,0,0
1.04588E+18,10/21/18 17:19,0,0,0
2795776867,10/21/18 17:18,0,0,0
2998281130,10/21/18 17:15,0,0,0
8.2053E+17,10/21/18 17:11,0,0,0
72073289,10/21/18 17:11,0,0,0
4407126683,10/21/18 17:10,0.35,0,0
1.05218E+18,10/21/18 17:02,0,0,0
9.58276E+17,10/21/18 17:01,0,0,0
9.5665E+17,10/21/18 16:58,0,0,0
1.05216E+18,10/21/18 16:55,0,0,0
9.30856E+17,10/21/18 16:49,0,0,0
2701466408,10/21/18 16:49,0,0,0
1.0274E+18,10/21/18 16:35,0.5,0,0
7.08944E+17,10/21/18 16:33,0,0,0
1.01332E+18,10/21/18 16:02,0,0,0
8.91063E+17,10/21/18 15:53,0.228787879,0,0
1.0274E+18,10/21/18 15:48,1,0,0
2324254542,10/21/18 15:36,0.5,0,0
911735136,10/21/18 15:32,0,0,-0.4
3271847262,10/21/18 15:29,0,0,0
236422033,10/21/18 15:15,0,0,0
7.24355E+17,10/21/18 15:06,0,0,0
9.79945E+17,10/21/18 14:59,0,0,0
397467974,10/21/18 14:44,0,0,0
9.79945E+17,10/21/18 14:38,0,0,0
9.78306E+17,10/21/18 14:30,0,0,0
9.34423E+17,10/21/18 14:04,0,0,0
236422033,10/21/18 13:11,0,0,0
2221804583,10/21/18 13:06,0.116666667,0,0
92148954,10/21/18 13:00,0,0,-1
2440284860,10/21/18 12:55,0,0,0
7.86991E+17,10/21/18 12:45,0,0,0
363267062,10/21/18 12:39,0,0,-0.4
4095335573,10/21/18 12:25,0.3,0,0
420875454,10/21/18 12:14,0,0,0
7.68259E+17,10/21/18 12:04,0,0,0
8.88551E+17,10/21/18 11:55,0.25,0,0
420875454,10/21/18 10:58,0,0,0
7.45655E+17,10/21/18 10:35,0.136363636,0,0
2998300839,10/21/18 10:20,0,0,0
2579536057,10/21/18 9:53,0.136363636,0,0
563294262,10/21/18 8:47,0,0,0
194149078,10/21/18 8:33,0,0,0
968916108,10/21/18 8:30,0.3,0,0
500084598,10/21/18 8:12,0,0,0
345179256,10/21/18 7:49,0,0,-0.279761905
54529748,10/21/18 7:10,0,0,0
8.20816E+17,10/21/18 6:31,0,0,0
9.13181E+17,10/21/18 6:29,0.7,0,0
827926069,10/21/18 5:01,0,0,0
9.46098E+17,10/21/18 4:56,0,0,0
741194701,10/21/18 4:54,0,0,0
54529748,10/21/18 4:51,0,0,0
3330139138,10/21/18 4:50,0,0,0
7.85995E+17,10/21/18 4:49,0.6,0,0
237839732,10/21/18 4:49,0,0,0
2811914313,10/21/18 4:42,0.7,0,0
1013731890,10/21/18 4:34,0.4,0,0
3243222655,10/21/18 4:23,0,0,0
345179256,10/21/18 4:12,0,0,0
2402900930,10/21/18 3:51,0.136363636,0,0
8.91402E+17,10/21/18 3:44,0,0,0
9.13198E+17,10/21/18 3:41,0,0,0
1858257684,10/21/18 3:36,0,0,0
47144487,10/21/18 3:00,0,0,0
234807283,10/21/18 2:57,0,0,0
37155305,10/21/18 2:47,0.16,0,0
1691803320,10/21/18 2:43,0,0,0
31327090,10/21/18 2:10,0,0,0
1.04252E+18,10/21/18 0:39,0,0,0
8.69238E+17,10/21/18 0:34,0,0,0
8.46869E+17,10/21/18 0:28,0,0,0
2401507808,10/21/18 0:27,0.05,0,0
8.75928E+17,10/21/18 0:18,0,0,0
4895140128,10/21/18 0:17,0,0,0
8.14205E+17,10/21/18 0:01,0,0,0
2218556806,10/20/18 23:33,0,0,0
3044136472,10/20/18 23:26,0,0,0
827926069,10/20/18 23:16,0,0,0
1326943459,10/20/18 22:50,0.6,0,0
7.63265E+17,10/20/18 22:49,0,0,0
3371804123,10/20/18 22:26,0,0,0
7.46065E+17,10/20/18 22:20,0.4,0,0
21831682,10/20/18 22:17,0,0,0
1621562390,10/20/18 22:04,0.2,0,0
8.27758E+17,10/20/18 21:59,0,0,0
